isin,instrumentsubtype,country,businessline,signoffgroup,portfolionumber,counterpartycode,asset_or_liability,amount
FR0000000958,IRS Swap,GB,Equities,Product Control FI,PTF_671,CP_7818,Asset,38785798.52
JP0000000968,Repo,ES,Structured Products,Treasury Control,PTF_980,CP_8025,Liability,28433630.38
US0000000978,Future,LU,Fixed Income,Product Control EQ,PTF_740,CP_4457,Liability,33023104.72
GB0000000988,FX Forward,DE,Treasury,Product Control FI,PTF_260,CP_1043,Liability,22527932.71
FR0000000998,Repo,JP,Fixed Income,Product Control EQ,PTF_395,CP_5632,Liability,3563632.11
GB0000001008,IRS Swap,IE,Wealth Management,Operations Signoff,PTF_777,CP_4241,Liability,5743241.24
GB0000001018,Equity,ES,FX & Commodities,Product Control EQ,PTF_173,CP_1977,Asset,39632465.17
FR0000001028,Future,ES,FX & Commodities,Risk Management,PTF_227,CP_8679,Liability,34988185.58
DE0000001038,Commercial Paper,SG,Structured Products,Risk Management,PTF_182,CP_1653,Liability,36728023.49
FR0000001048,IRS Swap,US,Fixed Income,Product Control EQ,PTF_790,CP_1339,Liability,28814468.0
GB0000001058,Repo,SG,Wealth Management,Risk Management,PTF_384,CP_3973,Liability,31741062.05
JP0000001068,Corp Bond,AU,FX & Commodities,Risk Management,PTF_441,CP_6260,Asset,42887366.05
DE0000001078,Option,LU,Structured Products,Treasury Control,PTF_778,CP_7561,Asset,22744021.3
DE0000001088,IRS Swap,CH,Fixed Income,Risk Management,PTF_985,CP_9431,Asset,32884731.02
FR0000001098,Repo,CA,Fixed Income,Product Control EQ,PTF_630,CP_6927,Liability,31272310.06
US0000001108,FX Forward,JP,Treasury,Product Control EQ,PTF_394,CP_8178,Liability,6075697.04
FR0000001118,FX Forward,LU,Equities,Treasury Control,PTF_664,CP_1224,Liability,4664994.02
US0000001128,Repo,GB,Wealth Management,Product Control EQ,PTF_610,CP_5781,Liability,20777439.7
JP0000001138,Repo,FR,Structured Products,Operations Signoff,PTF_248,CP_7284,Asset,46093798.16
FR0000001148,Equity,IT,Fixed Income,Treasury Control,PTF_891,CP_7798,Liability,46712748.44
FR0000001158,IRS Swap,IT,Fixed Income,Treasury Control,PTF_843,CP_5891,Liability,43263703.43
JP0000001168,Commercial Paper,AU,FX & Commodities,Treasury Control,PTF_665,CP_9903,Liability,22769954.12
DE0000001178,FX Forward,LU,Equities,Operations Signoff,PTF_492,CP_4826,Liability,2187146.72
JP0000001188,Option,CA,Wealth Management,Product Control EQ,PTF_607,CP_1606,Asset,25117046.05
FR0000001198,CDS,IT,Fixed Income,Risk Management,PTF_202,CP_9617,Liability,772303.16
GB0000001208,Option,IT,Wealth Management,Product Control EQ,PTF_176,CP_8692,Liability,16931368.9
JP0000001218,Corp Bond,IT,FX & Commodities,Operations Signoff,PTF_489,CP_6188,Liability,43619788.95
US0000001228,Future,GB,Equities,Treasury Control,PTF_332,CP_2480,Liability,48916994.72
US0000001238,Repo,DE,Wealth Management,Treasury Control,PTF_129,CP_1753,Liability,39808192.54
DE0000001248,CDS,CH,Structured Products,Product Control EQ,PTF_350,CP_9702,Liability,28298573.46
GB0000001258,Equity,DE,Fixed Income,Operations Signoff,PTF_991,CP_7267,Asset,24885874.28
FR0000001268,Equity,FR,Structured Products,Treasury Control,PTF_570,CP_5183,Asset,44945932.04
JP0000001278,IRS Swap,NL,Treasury,Product Control EQ,PTF_175,CP_8237,Liability,49382646.5
DE0000001288,Option,LU,FX & Commodities,Risk Management,PTF_965,CP_5949,Asset,49968681.41
JP0000001298,Corp Bond,FR,Structured Products,Operations Signoff,PTF_467,CP_5847,Liability,1101870.19
JP0000001308,IRS Swap,US,Treasury,Product Control FI,PTF_720,CP_9138,Liability,38788170.28
GB0000001318,Future,IE,FX & Commodities,Product Control EQ,PTF_751,CP_4115,Liability,33889834.11
GB0000001328,Corp Bond,ES,Wealth Management,Product Control FI,PTF_416,CP_8222,Asset,28980792.4
GB0000001338,Corp Bond,ES,FX & Commodities,Treasury Control,PTF_865,CP_7807,Asset,10043735.76
FR0000001348,CDS,SG,Treasury,Treasury Control,PTF_950,CP_3695,Liability,45702877.43
JP0000001358,IRS Swap,LU,FX & Commodities,Product Control FI,PTF_579,CP_2233,Asset,37708803.9
GB0000001368,Option,IT,Treasury,Treasury Control,PTF_192,CP_7464,Asset,13226606.62
US0000001378,Repo,CH,Wealth Management,Treasury Control,PTF_698,CP_7242,Liability,5421763.38
GB0000001388,Repo,US,Treasury,Operations Signoff,PTF_435,CP_4626,Asset,31772019.1
JP0000001398,IRS Swap,NL,Structured Products,Product Control FI,PTF_243,CP_1742,Asset,15221707.39
JP0000001408,Corp Bond,GB,Equities,Operations Signoff,PTF_238,CP_7367,Liability,18553720.72
FR0000001418,Option,HK,Wealth Management,Product Control EQ,PTF_524,CP_2622,Liability,30784532.44
DE0000001428,Govt Bond,LU,FX & Commodities,Product Control EQ,PTF_554,CP_8285,Asset,42773232.41
US0000001438,CDS,SG,Wealth Management,Treasury Control,PTF_162,CP_7523,Liability,9494479.07
US0000001448,Repo,GB,Wealth Management,Product Control EQ,PTF_757,CP_1349,Asset,39340795.55
GB0000001458,Equity,IE,Treasury,Product Control EQ,PTF_170,CP_4394,Asset,40653583.79
GB0000001468,CDS,IE,Equities,Operations Signoff,PTF_102,CP_5542,Asset,49376427.58
FR0000001478,IRS Swap,IE,Equities,Product Control FI,PTF_776,CP_1422,Asset,747942.06
GB0000001488,Future,CH,Fixed Income,Product Control EQ,PTF_371,CP_1858,Asset,37087194.26
FR0000001498,Corp Bond,LU,Fixed Income,Risk Management,PTF_559,CP_6931,Asset,22603010.97
GB0000001508,Future,US,Wealth Management,Operations Signoff,PTF_408,CP_8504,Asset,3045966.25
JP0000001518,Option,CA,Wealth Management,Product Control FI,PTF_602,CP_8267,Asset,44963841.92
DE0000001528,Future,DE,Fixed Income,Product Control EQ,PTF_381,CP_9984,Liability,19048315.42
FR0000001538,Commercial Paper,JP,Structured Products,Operations Signoff,PTF_719,CP_8048,Asset,39655839.17
US0000001548,Commercial Paper,LU,Equities,Risk Management,PTF_562,CP_4743,Liability,16949886.28
JP0000001558,Option,CA,Wealth Management,Product Control FI,PTF_420,CP_7992,Liability,33257067.61
DE0000001568,Equity,NL,Structured Products,Product Control FI,PTF_193,CP_2398,Asset,21596666.54
DE0000001578,Equity,SG,Fixed Income,Operations Signoff,PTF_675,CP_6400,Asset,20543377.6
JP0000001588,Govt Bond,JP,Treasury,Treasury Control,PTF_460,CP_2697,Asset,7740735.14
JP0000001598,FX Forward,IT,Fixed Income,Treasury Control,PTF_965,CP_7022,Asset,38131468.57
FR0000001608,FX Forward,IE,Structured Products,Operations Signoff,PTF_885,CP_1430,Liability,1452514.29
DE0000001618,IRS Swap,ES,FX & Commodities,Treasury Control,PTF_106,CP_3972,Asset,28318223.13
JP0000001628,Corp Bond,DE,Wealth Management,Product Control FI,PTF_193,CP_9691,Asset,18812839.31
JP0000001638,CDS,DE,FX & Commodities,Treasury Control,PTF_838,CP_6314,Asset,44167692.51
GB0000001648,Equity,IE,Treasury,Product Control FI,PTF_790,CP_2336,Liability,22158433.15
JP0000001658,Repo,HK,Structured Products,Risk Management,PTF_379,CP_4531,Asset,17261916.91
US0000001668,IRS Swap,NL,Wealth Management,Operations Signoff,PTF_598,CP_9633,Liability,2275641.04
JP0000001678,Future,US,Fixed Income,Product Control EQ,PTF_408,CP_4460,Asset,38209223.98
DE0000001688,CDS,GB,Fixed Income,Risk Management,PTF_864,CP_8055,Asset,6463639.16
FR0000001698,FX Forward,SG,Treasury,Treasury Control,PTF_173,CP_7505,Asset,21813798.68
JP0000001708,Corp Bond,IT,FX & Commodities,Operations Signoff,PTF_539,CP_7626,Liability,14479312.7
JP0000001718,Govt Bond,CH,Equities,Operations Signoff,PTF_571,CP_6928,Asset,21838405.42
US0000001728,FX Forward,CA,Treasury,Risk Management,PTF_636,CP_2288,Liability,43526868.19
DE0000001738,FX Forward,CH,Equities,Product Control FI,PTF_622,CP_2868,Asset,45296606.97
DE0000001748,CDS,LU,Wealth Management,Product Control EQ,PTF_341,CP_2684,Asset,12802131.26
GB0000001758,Future,DE,Wealth Management,Product Control FI,PTF_281,CP_9095,Liability,37723519.03
FR0000001768,Repo,NL,Treasury,Operations Signoff,PTF_430,CP_6179,Asset,21990942.0
JP0000001778,Repo,NL,FX & Commodities,Treasury Control,PTF_705,CP_1920,Liability,25369307.58
DE0000001788,Repo,AU,Fixed Income,Product Control FI,PTF_477,CP_5703,Asset,32235100.15
US0000001798,Future,HK,Treasury,Risk Management,PTF_573,CP_1672,Liability,45452952.58
FR0000001808,FX Forward,CH,Treasury,Risk Management,PTF_613,CP_3471,Asset,22528902.84
DE0000001818,Corp Bond,SG,Wealth Management,Product Control EQ,PTF_140,CP_5059,Liability,49549346.2
FR0000001828,Commercial Paper,HK,Equities,Treasury Control,PTF_481,CP_5634,Liability,20441426.02
DE0000001838,Future,US,Wealth Management,Treasury Control,PTF_167,CP_6401,Asset,27900370.8
JP0000001848,IRS Swap,JP,Wealth Management,Operations Signoff,PTF_994,CP_3463,Liability,4079691.86
GB0000001858,CDS,JP,Wealth Management,Risk Management,PTF_232,CP_2388,Liability,27948308.89
DE0000001868,Equity,NL,Wealth Management,Operations Signoff,PTF_195,CP_7937,Liability,916435.74
DE0000001878,Equity,FR,FX & Commodities,Risk Management,PTF_296,CP_4711,Asset,7751483.92
DE0000001888,Corp Bond,SG,Treasury,Operations Signoff,PTF_138,CP_6517,Asset,29864335.82
GB0000001898,Equity,DE,Wealth Management,Operations Signoff,PTF_928,CP_3712,Liability,2189402.94
DE0000001908,FX Forward,AU,Treasury,Treasury Control,PTF_870,CP_8355,Asset,26702887.43
DE0000001918,Repo,ES,Equities,Treasury Control,PTF_794,CP_8218,Liability,38473080.41
JP0000001928,Commercial Paper,SG,Structured Products,Product Control EQ,PTF_936,CP_4271,Asset,43650730.99
US0000001938,Repo,IT,FX & Commodities,Operations Signoff,PTF_205,CP_9452,Asset,14256725.39
GB0000001948,IRS Swap,AU,Treasury,Product Control EQ,PTF_950,CP_8167,Asset,47320931.08
GB0000001958,Repo,ES,FX & Commodities,Product Control FI,PTF_524,CP_1872,Liability,25102845.7
GB0000001968,Option,GB,FX & Commodities,Product Control EQ,PTF_128,CP_6221,Asset,41959618.5
DE0000001978,Equity,DE,Fixed Income,Treasury Control,PTF_949,CP_8740,Asset,37943263.53
JP0000001988,Repo,HK,Fixed Income,Product Control FI,PTF_119,CP_5193,Asset,41748980.15
FR0000001998,Future,SG,Structured Products,Product Control FI,PTF_894,CP_5720,Asset,15061053.97
US0000002008,FX Forward,CA,Wealth Management,Operations Signoff,PTF_568,CP_2029,Asset,41835202.59
JP0000002018,Future,SG,Fixed Income,Operations Signoff,PTF_688,CP_4963,Asset,14567143.03
US0000002028,Future,CH,Equities,Operations Signoff,PTF_526,CP_4068,Asset,26176610.46
DE0000002038,Corp Bond,SG,Treasury,Operations Signoff,PTF_905,CP_9316,Asset,19525734.36
JP0000002048,Govt Bond,NL,Structured Products,Treasury Control,PTF_359,CP_1266,Liability,39427058.21
DE0000002058,FX Forward,LU,Wealth Management,Product Control FI,PTF_890,CP_6447,Asset,2221562.74
FR0000002068,CDS,IT,Wealth Management,Product Control EQ,PTF_950,CP_8612,Liability,31588633.71
GB0000002078,Corp Bond,LU,Structured Products,Product Control FI,PTF_400,CP_4302,Asset,39556505.12
US0000002088,CDS,ES,FX & Commodities,Operations Signoff,PTF_507,CP_9897,Liability,12669421.69
GB0000002098,IRS Swap,CH,Fixed Income,Treasury Control,PTF_379,CP_3039,Liability,21850384.4
JP0000002108,Repo,ES,Structured Products,Treasury Control,PTF_291,CP_9129,Liability,18370509.61
FR0000002118,IRS Swap,IE,Fixed Income,Risk Management,PTF_180,CP_8055,Asset,27275992.5
DE0000002128,Corp Bond,GB,FX & Commodities,Treasury Control,PTF_413,CP_8305,Liability,8336405.38
JP0000002138,CDS,AU,Fixed Income,Treasury Control,PTF_729,CP_8126,Liability,31975268.18
US0000002148,Corp Bond,NL,Wealth Management,Risk Management,PTF_472,CP_9406,Asset,47639705.87
GB0000002158,Future,NL,Structured Products,Product Control FI,PTF_229,CP_2101,Asset,38926876.1
DE0000002168,CDS,CA,Treasury,Product Control FI,PTF_719,CP_3513,Liability,47441432.35
DE0000002178,Repo,IE,Fixed Income,Operations Signoff,PTF_240,CP_9674,Liability,19904712.13
DE0000002188,FX Forward,GB,Fixed Income,Product Control EQ,PTF_611,CP_9482,Liability,45677557.58
US0000002198,IRS Swap,IE,FX & Commodities,Risk Management,PTF_319,CP_5678,Liability,10012916.16
GB0000002208,Corp Bond,AU,Equities,Risk Management,PTF_189,CP_6236,Liability,35478476.64
FR0000002218,Commercial Paper,JP,FX & Commodities,Product Control EQ,PTF_828,CP_3852,Liability,25440243.48
US0000002228,FX Forward,IE,Equities,Product Control EQ,PTF_909,CP_9094,Asset,18048021.74
FR0000002238,CDS,AU,Treasury,Product Control EQ,PTF_726,CP_2412,Asset,15467989.42
JP0000002248,Commercial Paper,CA,Structured Products,Operations Signoff,PTF_175,CP_3053,Liability,32118717.78
JP0000002258,Repo,NL,Treasury,Treasury Control,PTF_231,CP_3981,Asset,21633751.23
US0000002268,Corp Bond,SG,Equities,Treasury Control,PTF_268,CP_3653,Liability,46737218.14
GB0000002278,CDS,SG,FX & Commodities,Product Control FI,PTF_356,CP_4216,Liability,6262888.9
DE0000002288,Future,SG,Fixed Income,Operations Signoff,PTF_756,CP_3762,Asset,8564175.15
FR0000002298,Future,CH,Treasury,Product Control FI,PTF_945,CP_1464,Asset,2277862.86
FR0000002308,IRS Swap,NL,Equities,Operations Signoff,PTF_526,CP_1496,Liability,44450399.09
FR0000002318,IRS Swap,NL,FX & Commodities,Risk Management,PTF_350,CP_7653,Liability,22679938.93
US0000002328,Equity,AU,Structured Products,Risk Management,PTF_575,CP_4342,Liability,30334979.84
DE0000002338,CDS,LU,FX & Commodities,Risk Management,PTF_233,CP_7070,Asset,15959198.74
JP0000002348,Corp Bond,JP,Structured Products,Product Control EQ,PTF_244,CP_2586,Asset,14514149.19
JP0000002358,Future,CA,Equities,Product Control EQ,PTF_933,CP_6364,Liability,9495755.89
GB0000002368,Repo,SG,Structured Products,Risk Management,PTF_415,CP_9148,Asset,4507004.51
JP0000002378,Commercial Paper,AU,Equities,Product Control EQ,PTF_697,CP_6781,Asset,2531767.53
JP0000002388,Future,ES,Wealth Management,Risk Management,PTF_392,CP_9793,Asset,42359382.41
JP0000002398,Equity,ES,FX & Commodities,Treasury Control,PTF_882,CP_7606,Liability,2266893.51
US0000002408,Future,SG,Equities,Treasury Control,PTF_666,CP_5728,Asset,19320509.5
JP0000002418,Commercial Paper,JP,Treasury,Operations Signoff,PTF_221,CP_3108,Asset,19698216.12
DE0000002428,Commercial Paper,CH,Equities,Product Control EQ,PTF_716,CP_9341,Liability,25006394.79
US0000002438,Govt Bond,DE,Wealth Management,Treasury Control,PTF_923,CP_8761,Liability,7451288.53
FR0000002448,Equity,CH,Treasury,Treasury Control,PTF_266,CP_7438,Liability,29688264.16
FR0000002458,Commercial Paper,SG,Structured Products,Operations Signoff,PTF_406,CP_8780,Asset,18421048.7
US0000002468,Option,HK,FX & Commodities,Product Control FI,PTF_711,CP_8775,Liability,48353699.46
FR0000002478,Future,FR,Wealth Management,Product Control FI,PTF_697,CP_8871,Asset,26213995.47
FR0000002488,Option,DE,Wealth Management,Product Control EQ,PTF_132,CP_2800,Asset,951773.69
DE0000002498,Option,DE,Structured Products,Product Control EQ,PTF_520,CP_9221,Liability,43641521.36
US0000002508,Equity,SG,Equities,Operations Signoff,PTF_432,CP_8837,Liability,15691061.17
GB0000002518,Repo,ES,Treasury,Treasury Control,PTF_659,CP_6804,Liability,30505778.62
GB0000002528,FX Forward,JP,Treasury,Treasury Control,PTF_330,CP_5876,Liability,35246522.34
JP0000002538,CDS,AU,FX & Commodities,Operations Signoff,PTF_914,CP_5480,Liability,6098095.92
FR0000002548,Option,ES,Structured Products,Treasury Control,PTF_891,CP_3399,Liability,2108114.01
US0000002558,CDS,ES,Structured Products,Treasury Control,PTF_865,CP_8849,Asset,10107390.02
FR0000002568,IRS Swap,ES,Treasury,Treasury Control,PTF_240,CP_2789,Asset,12126689.63
FR0000002578,FX Forward,NL,Equities,Product Control FI,PTF_202,CP_7771,Liability,35869316.02
US0000002588,Equity,US,Treasury,Product Control EQ,PTF_516,CP_8793,Liability,32528681.9
DE0000002598,CDS,JP,Wealth Management,Product Control FI,PTF_887,CP_2465,Asset,26759938.08
US0000002608,Equity,CA,Equities,Product Control FI,PTF_956,CP_7504,Liability,9319650.04
DE0000002618,Govt Bond,US,FX & Commodities,Operations Signoff,PTF_717,CP_2758,Liability,14231659.81
FR0000002628,Commercial Paper,AU,Equities,Operations Signoff,PTF_579,CP_5470,Asset,40441649.84
DE0000002638,Equity,LU,Structured Products,Treasury Control,PTF_835,CP_4050,Asset,36832211.69
DE0000002648,Future,NL,Equities,Product Control EQ,PTF_725,CP_7643,Liability,25766456.54
US0000002658,Option,NL,Fixed Income,Product Control EQ,PTF_243,CP_8822,Liability,46791590.22
US0000002668,IRS Swap,CA,Equities,Risk Management,PTF_871,CP_5374,Liability,15100782.26
FR0000002678,Govt Bond,JP,Wealth Management,Treasury Control,PTF_809,CP_4871,Asset,33390966.81
JP0000002688,IRS Swap,DE,Structured Products,Operations Signoff,PTF_820,CP_6095,Asset,31937372.7
DE0000002698,CDS,HK,Equities,Product Control EQ,PTF_236,CP_8834,Asset,22751658.75
FR0000002708,CDS,CA,Wealth Management,Operations Signoff,PTF_582,CP_9806,Asset,38094171.7
FR0000002718,Corp Bond,SG,Structured Products,Operations Signoff,PTF_820,CP_6927,Asset,45862649.12
US0000002728,Govt Bond,IT,Treasury,Operations Signoff,PTF_307,CP_9792,Asset,8231035.14
FR0000002738,Repo,GB,Wealth Management,Product Control EQ,PTF_834,CP_9008,Asset,44944973.14
JP0000002748,Govt Bond,AU,Equities,Operations Signoff,PTF_525,CP_8484,Asset,27942065.96
DE0000002758,Govt Bond,CA,FX & Commodities,Product Control FI,PTF_863,CP_4570,Asset,2269263.69
